UniqueSampleID,UMAP1,UMAP2,TREAT1_clean,condition,MS_batch_proxy
20260527_XZ_GG_51,5.135465243843031,-8.041151310489015,high,高海拔,20260527
20260527_XZ_GG_52,5.039884189155531,-9.245345379397707,high,高海拔,20260527
20260527_XZ_GG_53,5.467177012947035,-9.994220997378664,high,高海拔,20260527
20260527_XZ_GG_55,5.095064261939955,-7.935502316043215,high,高海拔,20260527
20260527_XZ_GG_56,4.166121343162489,-8.7382881894563,high,高海拔,20260527
20260527_XZ_GG_59,4.477087596443129,-8.778064037844972,high,高海拔,20260527
20260527_XZ_GG_60,4.12153897621913,-8.969267155215578,control,高海拔,20260527
20260527_XZ_GG_62,4.932048896339369,-8.409205700442628,control,高海拔,20260527
20260527_XZ_GG_64,4.4426985774306775,-9.45210769324048,control,高海拔,20260527
20260527_XZ_GG_65,5.140653708961439,-9.072408939883546,control,高海拔,20260527
20260527_XZ_GG_66,4.457311252143812,-8.858789707705812,control,高海拔,20260527
20260527_XZ_GG_68,4.813463786628676,-8.341030861422853,control,高海拔,20260527
20260527_XZ_GG_69,4.629092315223646,-8.30023648886426,control,高海拔,20260527
20260527_XZ_GG_71,4.806657413032484,-9.202509190127687,control,高海拔,20260527
20260527_XZ_GG_72,4.844573596504164,-8.739741589114503,control,高海拔,20260527
20260527_XZ_GG_73,4.337284663703871,-9.03868224768384,control,高海拔,20260527
20260527_XZ_GG_74,4.817854980018568,-9.246166492984132,control,高海拔,20260527
20260527_XZ_GG_75,4.760423759010267,-9.787401463076906,control,高海拔,20260527
20260527_XZ_GG_76,4.47880421021266,-8.911698605105714,control,高海拔,20260527
20260527_XZ_GG_77,5.242965320136976,-8.14021804480298,control,高海拔,20260527
20260527_XZ_GG_78,5.110350707557631,-7.835249210879641,control,高海拔,20260527
20260527_XZ_GG_79,4.905931571510267,-9.360932613894777,control,高海拔,20260527
20260527_XZ_GG_80,5.155441382911635,-9.569778706118898,control,高海拔,20260527
20260527_XZ_GG_81,4.947597125556898,-9.693944241092042,low,高海拔,20260527
20260527_XZ_GG_82,4.633623221900892,-8.316719795749025,low,高海拔,20260527
20260527_XZ_GG_83,4.901017287757826,-8.378607060000734,low,高海拔,20260527
20260527_XZ_GG_84,4.5785532985000135,-9.257260586306886,low,高海拔,20260527
20260527_XZ_GG_85,5.051688293006849,-8.552501942202882,low,高海拔,20260527
20260527_XZ_GG_86,4.6942955050735,-10.536055828616457,low,高海拔,20260527
20260527_XZ_GG_87,4.543664077308607,-8.992653156802492,low,高海拔,20260527
20260527_XZ_GG_88,4.7092343364028455,-10.719148899600343,low,高海拔,20260527
20260527_XZ_GG_89,4.74386129715724,-10.589702869937257,low,高海拔,20260527
20260527_XZ_GG_92,4.37306747772975,-9.69540717749341,low,高海拔,20260527
20260527_XZ_GG_93,4.810114005592299,-9.214058186099367,low,高海拔,20260527
20260527_XZ_GG_94,4.833468535926771,-10.733828808352785,low,高海拔,20260527
20260527_XZ_GG_95,5.076024631050062,-9.151086117312746,low,高海拔,20260527
20260527_XZ_GG_96,4.751769641426039,-10.666531826541261,low,高海拔,20260527
20260527_XZ_GG_97,5.23557386734767,-10.04970290808423,low,高海拔,20260527
20260527_XZ_GG_98,4.980122664955092,-8.050519730136232,low,高海拔,20260527
20260527_XZ_GG_99,5.049199203041029,-8.463164116427736,low,高海拔,20260527
20260527_XZ_GG_100,4.768782714393568,-9.720548893496828,low,高海拔,20260527
20260527_XZ_GG_101,5.058191398170424,-9.05308654455884,low,高海拔,20260527
20260527_XZ_GG_102,4.891902545478773,-8.482215191409425,low,高海拔,20260527
20260527_XZ_GG_103,5.493740657356215,-9.356965328738527,low,高海拔,20260527
20260527_XZ_GG_104,4.9360338244704725,-10.684708859011964,low,高海拔,20260527
20260527_XZ_GG_105,4.666968444374037,-9.671850468203859,low,高海拔,20260527
20260527_XZ_GG_106,4.410670856025648,-9.433301235720949,low,高海拔,20260527
20260527_XZ_GG_121,4.761629203346205,-9.456425930545167,control,高海拔,20260527
20260527_XZ_GG_122,4.680924991157484,-9.951916958377199,control,高海拔,20260527
20260527_XZ_GG_123,5.156570056465101,-8.277117992923097,high,高海拔,20260527
20260527_XZ_GG_124,4.9766341243056775,-9.560475613162355,high,高海拔,20260527
20260527_XZ_GG_125,5.022735217597914,-9.471862103030519,control,高海拔,20260527
20260527_XZ_GG_126,5.088702300575209,-9.4307348981355,control,高海拔,20260527
20260527_XZ_GG_128,4.67629013397975,-9.231997753665285,control,高海拔,20260527
20260527_XZ_GG_129,5.242448905494642,-9.319163586184816,control,高海拔,20260527
20260527_XZ_GG_130,5.876218417671156,-10.111359859988527,control,高海拔,20260527
20260527_XZ_GG_131,5.359120944526625,-9.638612057254152,control,高海拔,20260527
20260527_XZ_GG_132,4.708938220527601,-9.915893818423585,control,高海拔,20260527
20260527_XZ_GG_135,5.536111930396986,-10.04335811285718,control,高海拔,20260527
20260527_XZ_GG_136,6.087934592750502,-9.884603764102296,control,高海拔,20260527
20260527_XZ_GG_137,5.380423644569349,-9.193757320926027,control,高海拔,20260527
20260527_XZ_GG_138,5.687335589912367,-10.185075069949464,low,高海拔,20260527
20260527_XZ_GG_139,5.436722854164076,-9.004473949954347,low,高海拔,20260527
20260527_XZ_GG_140,5.5575619731215955,-8.83715465216382,high,高海拔,20260527
20260527_XZ_GG_141,5.801650146034193,-10.186449314639406,high,高海拔,20260527
20260527_XZ_GG_142,5.788353065040541,-9.606418873355226,high,高海拔,20260527
20260527_XZ_GG_143,5.768509963539076,-10.070584560916261,low,高海拔,20260527
20260527_XZ_GG_144,5.648984054115248,-9.222468639895753,high,高海拔,20260527
20260527_XZ_GG_145,5.8605075869826795,-9.494057919070558,high,高海拔,20260527
20260527_XZ_GG_146,5.723322013404799,-8.65975215582593,low,高海拔,20260527
20260527_XZ_GG_147,6.124195674446058,-9.929390217349367,high,高海拔,20260527
20260527_XZ_GG_148,5.9050727877883435,-8.774125362918214,high,高海拔,20260527
20260527_XZ_GG_149,5.9936510119704725,-10.038624073550539,high,高海拔,20260527
20260527_XZ_GG_150,5.869093040016127,-10.043621326968507,high,高海拔,20260527
20260527_XZ_GG_151,4.985121348884535,-10.27981879858716,low,高海拔,20260527
20260527_XZ_GG_152,5.765667060401869,-9.595536495730714,control,高海拔,20260527
20260527_XZ_GG_153,5.830585578468275,-10.149213100955324,high,高海拔,20260527
20260527_XZ_GG_154,5.738658526924086,-9.427416111514406,low,高海拔,20260527
20260527_XZ_GG_155,5.976887324836683,-10.032150532290773,high,高海拔,20260527
20260527_XZ_GG_156,6.147726157691908,-9.265028263614015,high,高海拔,20260527
20260527_XZ_GG_157,6.174926379707289,-9.308544422671632,high,高海拔,20260527
20260527_XZ_GG_158,6.1427999530105115,-9.537189747378664,low,高海拔,20260527
20260527_XZ_GG_159,5.845219710853529,-8.339864994571046,high,高海拔,20260527
20260527_XZ_GG_160,5.843223670509291,-9.592550541446046,high,高海拔,20260527
20260527_XZ_GG_161,6.058530906227064,-8.803488995120363,low,高海拔,20260527
20260527_XZ_GG_162,6.111227611091566,-9.852665211245851,high,高海拔,20260527
20260527_XZ_GG_163,5.9268528018264295,-8.614980007693605,low,高海拔,20260527
20260527_XZ_GG_164,6.031141856697035,-8.833800579593019,low,高海拔,20260527
20260527_XZ_GG_165,6.138804057624769,-9.399847294375734,high,高海拔,20260527
20260527_XZ_GG_166,5.681455234077406,-8.875306393191652,low,高海拔,20260527
20260527_XZ_GG_167,5.8115292582778455,-8.315842415377931,high,高海拔,20260527
20260527_XZ_GG_168,6.1812754664687635,-9.150266911074953,high,高海拔,20260527
20260527_XZ_GG_169,6.032070735481215,-8.919720913455324,high,高海拔,20260527
20260527_XZ_GG_170,5.690445521858168,-8.288605953738527,low,高海拔,20260527
20260527_XZ_GG_171,5.228211024787855,-8.549549366519289,high,高海拔,20260527
20260717_GZ_TH_1,-11.862291237327623,5.878277038052244,control,湿热,20260717
20260717_GZ_TH_2,-10.727732559654283,7.601863597347898,control,湿热,20260717
20260717_GZ_TH_3,-12.010334869834947,6.707146380856199,control,湿热,20260717
20260717_GZ_TH_4,-12.08786763808446,6.843429778530759,control,湿热,20260717
20260717_GZ_TH_6,-11.957487961265612,6.280766223385496,high,湿热,20260717
20260717_GZ_TH_7,-11.765146156761217,6.338430617764158,high,湿热,20260717
20260717_GZ_TH_8,-10.722818275901842,7.562961314633054,high,湿热,20260717
20260717_GZ_TH_9,-11.808185478660631,5.880856727078123,high,湿热,20260717
20260717_GZ_TH_10,-11.63140668532567,5.855244849636716,high,湿热,20260717
20260717_GZ_TH_11,-11.60611714980321,6.518779490902586,high,湿热,20260717
20260717_GZ_TH_12,-11.142492195579576,5.6677167162443824,low,湿热,20260717
20260717_GZ_TH_13,-10.226918121788072,8.250355456783934,low,湿热,20260717
20260717_GZ_TH_14,-10.418538948509264,7.419898246243162,high,湿热,20260717
20260717_GZ_TH_15,-11.16140927931981,6.13796398492114,low,湿热,20260717
20260717_GZ_TH_16,-11.131530662986803,5.808911059811277,low,湿热,20260717
20260717_GZ_TH_17,-9.994251152488756,8.51712772698657,low,湿热,20260717
20260717_GZ_TH_18,-11.029580971214342,7.0026309237028785,low,湿热,20260717
20260717_GZ_TH_19,-10.901868721458483,5.672799800350828,low,湿热,20260717
