"PG.ProteinGroups","logFC_primary","logFC_comparison"
"P15144",0.199400129525381,0.104509701458246
"P15151",0.168809148900513,0.112119619355758
"P15153",-0.0582605315322322,-0.11687801782857
"P15169",0.109474770853373,0.175661990129417
"P15291",0.0654624049979304,-0.0178402407698286
"P15311",-0.131133923190569,-0.161031424920752
"P15531",0.0113944446572507,-0.0274281526307121
"P15814",0.16191232539094,0.0364162546688931
"P15907",-0.0546647466814605,-0.0383273117974845
"P15924",-0.179422941569875,-0.208282615457705
"P15941",-0.0588578950623209,-0.0314521421833938
"P16035",-0.072758990375041,-0.00919612149811755
"P16070",-0.136105185009917,-0.161457720550889
"P16109",-0.184326199506408,-0.262739954555046
"P16112",-0.350039328976735,-0.388330384455813
"P16150",-0.207701053297686,-0.216170642719341
"P16152",0.113101527086442,0.0895110674554163
"P16157",-0.186992393099503,-0.327077433828251
"P16284",-0.0519216070156947,-0.0803386467387543
"P16401",0.0124154384556565,-0.0651182641730994
"P16452",-0.212865060393586,-0.379286701643574
"P16671",-0.10473707247616,-0.12577051038754
"P16871",-0.217023966718893,-0.258019846105798
"P16949",-0.157006494672352,-0.183249469940741
"P17301",-0.00306100983719126,-0.0427719373363438
"P17655",-0.0274604030461916,-0.0916499247158615
"P17844",-0.152457463311947,-0.145188237851411
"P17858",0.0252024154238777,-0.0402814620007179
"P17900",0.0882280135700402,0.0141759887061479
"P17927",-0.208345168781199,-0.280414611163419
"P17931",0.177554883210237,0.128048288371865
"P17936",0.214578421195434,0.191432615763773
"P17980",-0.162649348173555,-0.187869969054167
"P17987",-0.00654079067239088,-0.07448909992981
"P18065",-0.204817317796893,-0.115913052312166
"P18085",0.0458348467834497,-0.0278785826321961
"P18124",0.105907469454358,0.061459862201569
"P18206",0.03950485350334,-0.0294015576001119
"P18428",0.0209212628229842,-0.0638876552170125
"P18564",0.0371219782338361,0.0171598525827772
"P18577",0.00245886128214856,-0.128162128895999
"P18669",0.02688693354599,-0.00998247583116374
"P18827",-0.319908514619346,-0.410569320881784
"P19013",-0.177274541316311,-0.0932324532985085
"P19021",-0.0265541281168566,-0.0547144610030657
"P19022",-0.113653567381371,-0.0470179899676086
"P19256",-0.138817342426453,-0.188492708737893
"P19320",-0.0143667798807741,-0.0492961521462476
"P19338",-0.124576737205077,-0.137870343900124
"P19367",0.41098745184809,0.415274767524137
"P19652",0.302219390156568,0.259878990296077
"P19823",-0.13230300796538,-0.109219811488941
"P19827",-0.0543988733981919,-0.0297845564804646
"P19971",-0.0529214111651459,-0.112928509388399
"P20062",0.0138846144713023,0.0811727766188923
"P20073",-0.0309212502124465,-0.0858123151661268
"P20339",-0.0663990376277042,-0.13934626458088
"P20618",-0.0025848994178812,-0.010345360200291
"P20701",-0.120831858781743,-0.133200895691131
"P20774",0.000476385470738805,0.0161689412649455
"P20810",0.362521601660707,0.307074813689589
"P20851",0.185194105081106,0.16673930755918
"P20908",-0.148838041568812,-0.127569692981172
"P20930",-0.171510542321048,-0.199269894600052
"P21281",0.451444290461502,0.392348828408455
"P21291",0.00566253786758963,-0.0593706509935465
"P21333",0.0330186908649335,-0.0406850323462038
"P21439",-0.154040978637006,-0.174833517268674
"P21589",0.00144150246618313,-0.0664282275404009
"P21730",-0.0307843851523586,-0.0925599572984215
"P21810",-0.217618263220354,-0.264469206046671
"P21926",-0.119103344540919,-0.162311662912817
"P21980",-0.0579444631101396,-0.126924267254125
"P22061",-0.0373586966883011,-0.0444520350190274
"P22105",-0.0121315350162163,-0.0743350718697897
"P22223",-0.181984588083056,-0.144505271807743
"P22234",-0.0804494605854478,-0.0983493513901781
"P22304",-0.154736244707903,-0.184108312266732
"P22314",-0.104400496922267,-0.1430863435259
"P22352",0.19313082698136,0.0944193681669994
"P22392",0.0334203516843115,0.0897120948559813
"P22466",-0.319433599964919,-0.312683418654196
"P22607",-0.138601103000417,-0.16950842659417
"P22626",0.224042675277375,0.056473314382254
"P22692",-0.120871854319715,-0.076555474426705
"P22694",0.156205363381379,0.0898055288861528
"P22735",-0.491229981877318,-0.489605982763731
"P22792",0.118634886399693,0.14197194272881
"P22891",-0.0313627635507583,-0.0382414394910295
"P23141",0.00620349047576951,-0.0282928280146564
"P23142",0.119773338716945,0.072938238803415
"P23229",-0.143579655344567,-0.191549540589087
"P23280",0.23027941984893,0.185301765628524
"P23284",-0.14243517773734,-0.173619431828996
"P23327",-0.0969617429114944,-0.171587607585101
"P23381",-0.145766139044292,-0.166623081283031
"P23467",-0.101305659106549,-0.108196593332794
"P23470",-0.126092684048597,-0.168090546887834
"P23471",-0.0968392833489542,-0.0848603355043789
"P23526",0.0208454645692164,-0.0278419221132271
"P23528",-0.084814296009311,-0.0996055431043477
"P23588",-0.580489009498448,-0.608548808714151
"P23634",-0.0508500062435475,-0.0958981101401211
"P24043",-0.0827459901715066,-0.151665097933668
"P24158",0.291195003522683,0.277079586178501
"P24592",-0.00972074613433094,0.0117205216208411
"P24593",-0.108489466632113,-0.0460781887741994
"P24666",-0.00951061301028489,-0.0889669499268813
"P24821",-0.221123951820733,-0.244911142556941
"P24844",0.154054866910412,0.107234715795455
"P25311",0.084372335988407,0.0858724750784834
"P25705",0.00888754172094153,-0.126440588843652
"P25774",-0.0459866099233297,-0.0130165893617091
"P25786",-0.112510037520202,-0.152753358571839
"P25787",-0.108754016059307,-0.161213254017685
"P25788",-0.0556407398078491,-0.072840620155505
"P25789",-0.0798903297473501,-0.107548384241188
"P25815",0.0459882568163614,0.0105698484837458
"P26022",-0.15382049524025,-0.19865714457633
"P26038",-0.158169431483689,-0.164461941040994
"P26447",-0.057339972692084,-0.0657509497263273
"P26572",-0.109603915976168,-0.14198392305445
"P26583",0.0593093527034192,0.0165073753072651
"P26599",0.043143141136011,-0.0464002661235039
"P26641",-0.180061773829987,-0.206311949170421
"P26927",0.221014423967498,0.245966904628213
"P27105",-0.0853682544556609,-0.159638440817412
"P27169",-0.0312734069501914,-0.0824537194726673
