"Protein","Control","N_observed_Control","N_total_Control","Short","N_observed_Short","N_total_Short","Long","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","logFC","adj.P.Val","Pattern_version","Tolerance_log2"
"Q6Q788",12.4934910114632,153,153,12.635697430511,186,186,12.3349642315782,176,176,0.142206419047833,-0.300733198932777,-0.158526779884944,"Short_peak",-0.293823111485372,0.0071113664990785,"2.0",0.05
"P49641",9.54231499654293,153,153,9.64501286765807,186,186,9.34579283481581,176,176,0.102697871115144,-0.299220032842255,-0.196522161727112,"Short_peak",-0.288579745289779,0.0071113664990785,"2.0",0.05
"Q6UVK1",10.2464449903616,153,153,10.394238571492,186,186,10.1045984190305,176,176,0.147793581130424,-0.289640152461494,-0.141846571331071,"Short_peak",-0.298144912410397,0.0071113664990785,"2.0",0.05
"O75787",9.80693490652615,153,153,10.1132395152442,186,186,9.68359429281107,176,176,0.306304608718053,-0.429645222433127,-0.123340613715074,"Short_peak",-0.339441208497044,0.0071113664990785,"2.0",0.05
"O60279",12.8694945020471,153,153,12.9901046773062,186,186,12.7304121330919,176,176,0.120610175259106,-0.259692544214243,-0.139082368955137,"Short_peak",-0.260853453113453,0.0071113664990785,"2.0",0.05
"O94985",10.9852662548257,153,153,11.1080784560807,186,186,10.8124056901986,176,176,0.122812201255023,-0.295672765882106,-0.172860564627083,"Short_peak",-0.266971332514078,0.0071113664990785,"2.0",0.05
"P14314",12.3090917157221,153,153,12.5148020738327,186,186,12.2539318476691,176,176,0.205710358110595,-0.260870226163592,-0.0551598680529963,"Short_peak",-0.233194681339732,0.00720715375774807,"2.0",0.05
"P10451",12.3294621358848,153,153,12.4493997616323,186,186,12.1535971401901,176,176,0.119937625747491,-0.295802621442174,-0.175864995694683,"Short_peak",-0.295592210078141,0.00720715375774807,"2.0",0.05
"Q9HCM3",9.57780906356733,153,153,9.73832158451309,186,186,9.44296388322296,176,176,0.160512520945755,-0.295357701290124,-0.134845180344369,"Short_peak",-0.261616201315963,0.00746872858500086,"2.0",0.05
"O15466",9.25578151457682,153,153,9.43020586965341,186,186,9.10203195532345,175,176,0.174424355076592,-0.328173914329964,-0.153749559253372,"Short_peak",-0.305638253385021,0.00759083958367728,"2.0",0.05
"Q9NQ79",12.3472245020541,153,153,12.5858660502807,186,186,12.3096912935678,176,176,0.238641548226637,-0.276174756712939,-0.0375332084863018,"Short_peak",-0.285547015445275,0.00759083958367728,"2.0",0.05
"P40967",11.9396913009873,153,153,12.1195393266633,186,186,11.8185940439014,176,176,0.179848025675993,-0.300945282761869,-0.121097257085877,"Short_peak",-0.321025098420263,0.00759083958367728,"2.0",0.05
"Q12797",9.3620403355516,153,153,9.47029821112433,186,186,9.16458429643666,176,176,0.108257875572734,-0.305713914687672,-0.197456039114938,"Short_peak",-0.266443501051951,0.00759083958367728,"2.0",0.05
"Q9BUD6",8.29965814382221,141,153,8.51761942631103,179,186,8.07481286119926,168,176,0.217961282488824,-0.44280656511177,-0.224845282622946,"Short_peak",-0.397306702209899,0.00759083958367728,"2.0",0.05
"Q9BRK5",9.50145827597568,153,153,9.70690621520046,186,186,9.32881703155688,176,176,0.205447939224779,-0.378089183643585,-0.172641244418806,"Short_peak",-0.352007245233523,0.00759083958367728,"2.0",0.05
