PG.ProteinGroups,FJ_FQ,FJ_PT,FJ_QZ,GZ_TH,XZ_GG,XZ_YA,XZ_YB,XZ_YC,XZ_YD
Q9NX46,0.04285714285714286,0.5384615384615384,0.14754098360655737,0.04878048780487805,0.08391608391608392,0.045454545454545456,0.08333333333333333,0.029411764705882353,0.17857142857142858
Q9NX62,0.7571428571428571,0.7692307692307693,0.6065573770491803,0.5121951219512195,0.3006993006993007,0.9090909090909091,0.75,0.8529411764705882,0.8928571428571429
Q9NX63,0.05714285714285714,0.2692307692307692,0.04918032786885246,0.10569105691056911,0.23076923076923078,0.18181818181818182,0.08333333333333333,0.17647058823529413,0.39285714285714285
Q9NX76,0.12857142857142856,0.5,0.11475409836065574,0.3170731707317073,0.21678321678321677,0.5454545454545454,0.6666666666666666,0.4117647058823529,0.5
Q9NXD2,0.2857142857142857,0.23076923076923078,0.09836065573770492,0.18699186991869918,0.03496503496503497,0.5909090909090909,0.08333333333333333,0.3235294117647059,0.5714285714285714
Q9NXH8,0.18571428571428572,0.5384615384615384,0.16393442622950818,0.2845528455284553,0.3076923076923077,0.4090909090909091,0.5,0.4411764705882353,0.6071428571428571
Q9NXL6,0.02857142857142857,0.07692307692307693,0.01639344262295082,0.04878048780487805,0.07692307692307693,0.0,0.0,0.029411764705882353,0.25
Q9NXU5,0.15714285714285714,0.38461538461538464,0.08196721311475409,0.12195121951219512,0.16783216783216784,0.13636363636363635,0.4166666666666667,0.4117647058823529,0.4642857142857143
Q9NY15,0.6,0.4230769230769231,0.39344262295081966,0.15447154471544716,0.6153846153846154,0.8181818181818182,0.6666666666666666,0.38235294117647056,0.4642857142857143
Q9NY33,0.44285714285714284,0.9615384615384616,0.7213114754098361,0.4796747967479675,0.5874125874125874,0.7272727272727273,0.9166666666666666,0.5882352941176471,0.7857142857142857
Q9NY65,0.7428571428571429,1.0,0.8360655737704918,0.8211382113821138,0.7832167832167832,0.7727272727272727,1.0,0.8823529411764706,0.9285714285714286
Q9NY97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9NYL9,0.5714285714285714,1.0,0.819672131147541,0.5853658536585366,0.7622377622377622,0.6818181818181818,0.9166666666666666,0.6176470588235294,0.75
Q9NYQ6,1.0,1.0,1.0,0.991869918699187,1.0,1.0,1.0,1.0,1.0
Q9NYQ8,1.0,1.0,1.0,0.8048780487804879,0.986013986013986,0.7727272727272727,1.0,0.9705882352941176,0.9285714285714286
Q9NYU2,0.9857142857142858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9NZ08,0.7714285714285715,0.9615384615384616,0.6721311475409836,0.7967479674796748,0.5524475524475524,0.9545454545454546,0.9166666666666666,0.8823529411764706,0.8571428571428571
Q9NZ38,0.44285714285714284,0.5384615384615384,0.21311475409836064,0.1951219512195122,0.14685314685314685,0.6363636363636364,0.5833333333333334,0.6470588235294118,0.8928571428571429
Q9NZ53,0.9857142857142858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9NZA1,0.3,0.6153846153846154,0.36065573770491804,0.3252032520325203,0.16083916083916083,0.45454545454545453,0.9166666666666666,0.6176470588235294,0.39285714285714285
Q9NZD2,0.34285714285714286,0.6538461538461539,0.45901639344262296,0.3902439024390244,0.38461538461538464,0.45454545454545453,0.6666666666666666,0.4117647058823529,0.6428571428571429
Q9NZD4,0.7142857142857143,1.0,0.9180327868852459,0.6666666666666666,0.7482517482517482,1.0,1.0,0.7352941176470589,0.75
Q9NZH8,0.3,0.3076923076923077,0.29508196721311475,0.3983739837398374,0.15384615384615385,0.45454545454545453,1.0,0.5588235294117647,0.42857142857142855
Q9NZK5,0.4,0.4230769230769231,0.16393442622950818,0.2845528455284553,0.11188811188811189,0.8181818181818182,0.3333333333333333,0.6764705882352942,0.9285714285714286
Q9NZL9,0.1,0.34615384615384615,0.18032786885245902,0.16260162601626016,0.2097902097902098,0.22727272727272727,0.3333333333333333,0.11764705882352941,0.35714285714285715
