PG.ProteinGroups,control_ge50pct,low_ge50pct,high_ge50pct,all_doses_ge50pct,control_ge60pct,low_ge60pct,high_ge60pct,all_doses_ge60pct,control_ge70pct,low_ge70pct,high_ge70pct,all_doses_ge70pct,control_ge80pct,low_ge80pct,high_ge80pct,all_doses_ge80pct
O60704,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60716,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60749,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60762,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60763,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
O60784,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60826,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60841,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60844,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
O60869,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60884,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
O60888,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False
O60890,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60896,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60909,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60911,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60925,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60934,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O60936,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
O75015,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
O75023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O75044;P0DMP2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O75069,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O75081,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O75083,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O75093,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O75116,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
O75131,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O75144,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O75147,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
O75150,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O75154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O75165,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
O75170,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
O75190,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O75223,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
