PG.ProteinGroups,control,high,low,unknown
O15439,0.47058823529411764,0.5568181818181818,0.5053763440860215,0.5
O15466,1.0,0.9943181818181818,1.0,1.0
O15498,0.9084967320261438,0.8238636363636364,0.8817204301075269,1.0
O15511,0.9673202614379085,0.9431818181818182,0.9516129032258065,1.0
O15533,0.42483660130718953,0.4375,0.3924731182795699,0.5
O43143,0.24183006535947713,0.3068181818181818,0.2849462365591398,0.5
O43149,0.6013071895424836,0.5170454545454546,0.5752688172043011,0.5
O43150,0.27450980392156865,0.2784090909090909,0.2956989247311828,0.5
O43157,1.0,1.0,1.0,1.0
O43169,0.09803921568627451,0.16477272727272727,0.14516129032258066,0.25
O43173,0.8496732026143791,0.7102272727272727,0.8709677419354839,1.0
O43175,0.4444444444444444,0.3465909090909091,0.44623655913978494,0.75
O43181,0.06535947712418301,0.09090909090909091,0.06989247311827956,0.25
O43182,0.3660130718954248,0.3522727272727273,0.34408602150537637,0.75
O43242,0.8169934640522876,0.7727272727272727,0.7365591397849462,1.0
O43294,0.5294117647058824,0.5625,0.521505376344086,0.5
O43298,0.35294117647058826,0.20454545454545456,0.3010752688172043,0.5
O43306,0.13071895424836602,0.14204545454545456,0.11827956989247312,0.25
O43312,0.21568627450980393,0.29545454545454547,0.34408602150537637,0.75
O43314,0.026143790849673203,0.05113636363636364,0.010752688172043012,0.25
O43324,0.2679738562091503,0.25,0.17204301075268819,0.5
O43390,0.3660130718954248,0.32386363636363635,0.34408602150537637,0.5
O43396,0.9019607843137255,0.8863636363636364,0.9193548387096774,0.75
O43399,0.9411764705882353,0.8920454545454546,0.9032258064516129,1.0
O43447,0.08496732026143791,0.10795454545454546,0.08602150537634409,0.0
O43451,0.23529411764705882,0.19318181818181818,0.1881720430107527,0.25
O43488,0.8366013071895425,0.7784090909090909,0.7849462365591398,1.0
O43491,0.9019607843137255,0.8636363636363636,0.8924731182795699,1.0
O43493,0.3464052287581699,0.24431818181818182,0.3064516129032258,0.5
O43504,0.35294117647058826,0.26136363636363635,0.3225806451612903,0.25
O43505,0.7581699346405228,0.8125,0.7956989247311828,1.0
O43516,0.5359477124183006,0.4715909090909091,0.4838709677419355,1.0
O43529,0.9411764705882353,0.9090909090909091,0.9247311827956989,1.0
O43548,0.35947712418300654,0.3181818181818182,0.2849462365591398,0.75
O43561,0.16993464052287582,0.17045454545454544,0.15591397849462366,0.5
O43566,0.13071895424836602,0.11931818181818182,0.12903225806451613,0.0
O43583,0.37254901960784315,0.3409090909090909,0.27419354838709675,0.5
O43598,0.1437908496732026,0.14772727272727273,0.12903225806451613,0.25
O43615,0.23529411764705882,0.21022727272727273,0.20430107526881722,0.25
O43617,0.23529411764705882,0.23863636363636365,0.20430107526881722,0.5
O43633,0.5751633986928104,0.5056818181818182,0.5698924731182796,0.5
O43639,0.5163398692810458,0.44886363636363635,0.45161290322580644,1.0
O43665,0.6078431372549019,0.5284090909090909,0.5806451612903226,0.75
O43676,0.0457516339869281,0.08522727272727272,0.07526881720430108,0.25
O43678,0.0457516339869281,0.07954545454545454,0.03763440860215054,0.0
O43681,0.8888888888888888,0.8068181818181818,0.8387096774193549,1.0
O43684,0.0392156862745098,0.0625,0.026881720430107527,0.25
O43704,0.006535947712418301,0.022727272727272728,0.016129032258064516,0.0
O43707,0.954248366013072,0.9659090909090909,0.978494623655914,1.0
O43747,0.5098039215686274,0.5113636363636364,0.5591397849462365,1.0
O43752,0.13071895424836602,0.13636363636363635,0.15053763440860216,0.25
O43765,0.1895424836601307,0.18181818181818182,0.24731182795698925,0.25
O43768,0.32679738562091504,0.32386363636363635,0.3225806451612903,0.25
O43776,0.16339869281045752,0.24431818181818182,0.17204301075268819,0.5
