"Protein","Control","Low","High","Pattern","logFC","adj.P.Val"
"P60033",10.6718769131223,10.8534910479721,10.5627719815946,"Low_peak",-0.245966667528393,0.0401338173643078
"O15031",7.18264472386563,7.44352283650495,7.09133085328003,"Low_peak",-0.277159877752512,0.0406550179147925
"Q9NQ38",8.83221404291517,9.01391120801593,8.73034872106128,"Low_peak",-0.306565365700257,0.0414059543430883
"Q11201",8.06835483939109,8.3050053827858,7.94525486491023,"Low_peak",-0.355818971416977,0.0414059543430883
"A6NDG6",7.2217505482407,7.48964332022303,7.15404456828198,"Low_peak",-0.273731301983248,0.0414841770085024
"Q08174",9.50990105088941,9.73113125704941,9.43491868678253,"Low_peak",-0.280765091853819,0.0415314082900168
"Q8TDL5",10.7656182230328,11.0132488930555,10.7229471637605,"Low_peak",-0.262831734242852,0.0415314082900168
"Q9NRB3",9.5519708467819,9.7196510030829,9.40144172521049,"Low_peak",-0.263044446134774,0.0415314082900168
"O14645",11.3980164879056,11.5552700171591,11.2187667346695,"Low_peak",-0.314808493026346,0.0415865376229244
"Q15438",9.57951830599933,9.9767322284463,9.55568366410759,"Low_peak",-0.339959923833076,0.0422401051479944
"P48740",13.5811256645111,13.8129334702904,13.4907877371127,"Low_peak",-0.277617067480957,0.0426134410627061
"Q9BYJ0",10.2667114592959,10.6352748930728,10.3486506658579,"Low_peak",-0.272980237252302,0.0429509360730216
"Q15599",6.96380868289029,7.06413684774498,6.71061579122124,"Low_peak",-0.287811132520919,0.0433108055520944
"P12830",10.5493785658151,10.7894126277636,10.5169477099397,"Low_peak",-0.26114263492253,0.0435775298467781
"P07307",7.41666224110707,7.73923703504358,7.36284134472689,"Low_peak",-0.327651646624734,0.0443630474367661
"P27169",16.5333740702356,16.8141731763338,16.5324876466429,"Low_peak",-0.199260730955679,0.0444591551843874
"Q7Z7G0",13.1937478082797,13.4038195510978,13.1713818308534,"Low_peak",-0.20097481755092,0.0444591551843874
"Q8NFU4",10.793602732304,10.9809321490469,10.5420988176062,"Low_peak",-0.316523061591061,0.0457519317699307
"Q641Q3",8.23739085452634,8.32398645292857,8.05930180464134,"Low_peak",-0.296227815109768,0.045908908033961
